sample	cohort	included_in_clustering	exclusion_reason
DLBCL11481	Staudt	True	
DLBCL10922	Staudt	True	
DLBCL11480	Staudt	True	
DLBCL11428	Staudt	True	
DLBCL10849	Staudt	True	
DLBCL10552	Staudt	True	
DLBCL10911	Staudt	True	
DLBCL11572	Staudt	True	
DLBCL10964	Staudt	True	
DLBCL11001	Staudt	True	
DLBCL10522	Staudt	True	
DLBCL11664	Staudt	True	
DLBCL11451	Staudt	True	
DLBCL11683	Staudt	True	
DLBCL10894	Staudt	True	
DLBCL11441	Staudt	True	
DLBCL11590	Staudt	True	
DLBCL10967	Staudt	True	
DLBCL11537	Staudt	True	
DLBCL10903	Staudt	True	
DLBCL10954	Staudt	True	
DLBCL10478	Staudt	True	
DLBCL10970	Staudt	True	
DLBCL11461	Staudt	True	
DLBCL11595	Staudt	True	
DLBCL11514	Staudt	True	
DLBCL11525	Staudt	True	
DLBCL10888	Staudt	True	
DLBCL10477	Staudt	True	
DLBCL10837	Staudt	True	
DLBCL11004	Staudt	True	
DLBCL10466	Staudt	True	
DLBCL10486	Staudt	True	
DLBCL10501	Staudt	True	
DLBCL10930	Staudt	True	
DLBCL10853	Staudt	True	
DLBCL11449	Staudt	True	
DLBCL10845	Staudt	True	
DLBCL10524	Staudt	True	
DLBCL11577	Staudt	True	
DLBCL10547	Staudt	True	
DLBCL10926	Staudt	True	
DLBCL10943	Staudt	True	
DLBCL11516	Staudt	True	
DLBCL10933	Staudt	True	
DLBCL11191	Staudt	True	
DLBCL10998	Staudt	True	
DLBCL10843	Staudt	True	
DLBCL10510	Staudt	True	
DLBCL11571	Staudt	True	
DLBCL11559	Staudt	True	
DLBCL11500	Staudt	True	
DLBCL10508	Staudt	True	
DLBCL10917	Staudt	True	
DLBCL11656	Staudt	True	
DLBCL11469	Staudt	True	
DLBCL10867	Staudt	True	
DLBCL11438	Staudt	True	
DLBCL10898	Staudt	True	
DLBCL10913	Staudt	True	
DLBCL11353	Staudt	True	
DLBCL10873	Staudt	True	
DLBCL10981	Staudt	True	
DLBCL10518	Staudt	True	
DLBCL11486	Staudt	True	
DLBCL10536	Staudt	True	
DLBCL10971	Staudt	True	
DLBCL10887	Staudt	True	
DLBCL10507	Staudt	True	
DLBCL11466	Staudt	True	
DLBC_FF_A7CQ_TP_NB	TCGA	True	
DLBC_FF_A7CW_TP_NB	TCGA	True	
DLBC_FF_8043_TP_NB	TCGA	True	
DLBC_FF_8042_TP_NB	TCGA	True	
DLBC_FF_8062_TP_NB	TCGA	True	
DLBC_FF_A7CX_TP_NB	TCGA	True	
DLBC_FF_A7CR_TP_NB	TCGA	True	
DLBC_FF_8046_TP_NB	TCGA	True	
DLBCL_LS2264	Shipp	False	low_purity
DLBCL_RICOVER_102	Shipp	False	low_purity
DLBCL_C_D_1154_NULLPAIR	Shipp	False	low_purity
DLBCL_LS3271	Shipp	False	low_purity
DLBCL_LS2595	Shipp	False	low_purity
DLBCL_RICOVER_215	Shipp	False	low_purity
DLBCL_MC_F139_AD	Shipp	False	low_purity
DLBCL_C_D_1150_NULLPAIR	Shipp	False	low_purity
DLBCL_RICOVER_342	Shipp	False	low_purity
DLBCL_C_D_1111_NULLPAIR	Shipp	False	low_purity
DLBCL_RICOVER_554	Shipp	False	low_purity
DLBCL_LS3085	Shipp	False	low_purity
DLBCL_DFCI_DLBCL_GOE08	Shipp	False	low_purity
DLBCL_RICOVER_325	Shipp	False	low_purity
DLBCL10475	Staudt	False	Missing in probe file
DLBCL11568	Staudt	False	Missing in probe file
DLBCL10949	Staudt	False	Missing in probe file
DLBCL10489	Staudt	False	Missing in probe file
DLBCL11444	Staudt	False	Missing in probe file
DLBCL11589	Staudt	False	Missing in probe file
DLBCL10937	Staudt	False	Missing in probe file
