	C1	C2	C3	C4	C5	cluster	confidence
DLBCL11208	0.0002712385518733072	0.9952469674029897	0.002644686881560535	0.0004594614292558864	0.0013776457343206905	2	0.9952469674029897
DLBCL_LS3204	0.0002718183159760056	0.9952426249045209	0.0026464241095203673	0.0004602116143285019	0.001378921055654304	2	0.9952426249045209
DLBCL_RICOVER_266	9.542744610828019e-05	0.9952372645242243	0.0008183373277145607	0.0003756150345474373	0.0034733556674055857	2	0.9952372645242243
DFCIDL003_DT	0.00011901853157370472	0.9952153658803251	0.002635250892967517	0.00036057744624910126	0.0016697872488847334	2	0.9952153658803251
DLBCL_RICOVER_1235	0.00018844249506191785	0.995209386533766	0.002719463162035969	0.00036255344405620104	0.0015201543650798842	2	0.995209386533766
DLBCL11203	9.744891731926779e-05	0.9951985958023539	0.0008176630710706835	0.000349684319651876	0.003536607889604272	2	0.9951985958023539
DLBCL_MC_F959_ERM	0.0002466860304996874	0.9951745338649529	0.0008918368898809872	0.00041359198823670725	0.003273351226429825	2	0.9951745338649529
DLBCL10494	0.0001075335574771275	0.9951723999891645	0.0030056887844311423	0.00042075187362794535	0.0012936257952994117	2	0.9951723999891645
DLBCL10528	0.00014332066991749903	0.9951346418984248	0.002700999263123826	0.0003538894026584321	0.001667148765875448	2	0.9951346418984248
DLBCL10903	0.00014332066991749903	0.9951346418984248	0.002700999263123826	0.0003538894026584321	0.001667148765875448	2	0.9951346418984248
DLBCL_RICOVER_948	0.0001433206699176578	0.9951346418984233	0.002700999263124484	0.0003538894026586797	0.0016671487658759716	2	0.9951346418984233
DLBCL_C_D_PAIR5	0.0001433713379772488	0.9951341351557944	0.002701209209436306	0.00035396839961891654	0.0016673158971731608	2	0.9951341351557944
DLBCL11507	0.00017123952150429212	0.9950127221436674	0.0027533561894834894	0.0003957435061050945	0.0016669386392397434	2	0.9950127221436674
DLBCL11673	0.0001516314384231906	0.9949399457230163	0.0028398181519896475	0.00037527949469440795	0.0016933251918767127	2	0.9949399457230163
DLBCL_RICOVER_335	0.00013303181550940876	0.9949272706380677	0.002443925227001112	0.0007175902781995351	0.001778182041222306	2	0.9949272706380677
DLBCL_LS1065	0.00016216406030201215	0.9949227389657576	0.002515977219696919	0.0004654077245980505	0.00193371202964542	2	0.9949227389657576
DLBCL11466	0.00047976900429278353	0.9947923567538594	0.00274565624672094	0.0004656786953579022	0.0015165392997689106	2	0.9947923567538594
DLBCL10926	9.528654780738089e-05	0.9947752483383765	0.0006292386342152806	0.00034415953294145786	0.004156066946659283	2	0.9947752483383765
DLBCL11503	0.00021210220026868075	0.994757699536408	0.0006375063928727762	0.0003583364382349275	0.004034355432215616	2	0.994757699536408
DLBCL10885	0.0001336197554139365	0.9946979657921171	0.0004902137049961763	0.00038276205899288353	0.004295438688480103	2	0.9946979657921171
DLBCL10859	0.0001485371802272041	0.9946908175067436	0.0011092501404113564	0.0003073324284431409	0.003744062744174629	2	0.9946908175067436
DLBCL11446	0.0003546696665809697	0.9946645270790598	0.003045977968664865	0.0006288280217841881	0.0013059972639101233	2	0.9946645270790598
DLBCL_LS1921	0.00019875508277704976	0.9946590670509793	0.003206521494688127	0.0006667424298074337	0.0012689139417481725	2	0.9946590670509793
DLBCL_C_D_1126_NULLPAIR	0.0002592465690301237	0.9946565147876616	0.0023235774614821948	0.0004472546626333345	0.0023134065191928246	2	0.9946565147876616
DLBCL10487	0.001296316817615561	0.9946418950433759	0.0008522240920136972	0.0008444290400410298	0.002365135006954033	2	0.9946418950433759
DLBCL_C_D_1149_NULLPAIR	9.5131538101264e-05	0.9946221117520956	0.0012608355624544466	0.0003796403153138452	0.003642280832034824	2	0.9946221117520956
DLBCL10846	0.001050183190632366	0.9945842193551596	0.0015270924689622211	0.0009597510596291039	0.0018787539256166445	2	0.9945842193551596
DLBCL10983	0.00016742967478994582	0.9943921591901681	0.0005578642257051149	0.0003120316437879164	0.00457051526554885	2	0.9943921591901681
DLBCL_MC_F502_RFK	0.0001765866646955125	0.9943777159328873	0.0028397809226395746	0.00036395408998579284	0.002241962389791862	2	0.9943777159328873
DLBCL_C_D_1152_NULLPAIR	0.00012831754875090282	0.9943610301737631	0.003362515004646606	0.0005297563184957239	0.0016183809543434764	2	0.9943610301737631
DLBCL_C_D_1108_NULLPAIR	0.00017390153498429679	0.9942595040646316	0.0005838212821995008	0.00030370453612813236	0.004679068582056383	2	0.9942595040646316
DLBCL_LS2089	9.624871168665495e-05	0.9940929468740353	0.0004852142551721242	0.0003412766936315961	0.004984313465474434	2	0.9940929468740353
DLBCL_RICOVER_126	0.0001498826499184213	0.9940574939086779	0.003856330721747652	0.00036019064841795543	0.00157610207123811	2	0.9940574939086779
DLBCL11533	0.0001466441745375405	0.994007752698708	0.003930327362750798	0.00037559340451889556	0.0015396823594847162	2	0.994007752698708
DLBC_FF_8043_TP_NB	0.0001878152375982659	0.9939356532010035	0.0009865922510741915	0.0002941380661412927	0.004595801244182689	2	0.9939356532010035
DLBCL10541	0.00021978745345643602	0.9939194590312544	0.001272955710538365	0.00031438334897963594	0.004273414455771112	2	0.9939194590312544
DLBCL11483	0.00016404870036690976	0.9938856618322996	0.0005480047705012479	0.0003093422137974329	0.005092942483034699	2	0.9938856618322996
DLBCL_RICOVER_822	0.0003116390790347135	0.9938578350028714	0.0014979613578656973	0.0005333185381932884	0.0037992460220349954	2	0.9938578350028714
DLBCL10453	0.00012313941724333786	0.9936125460315987	0.0005001199701239509	0.00038528457626775233	0.005378910004766525	2	0.9936125460315987
DLBCL10956	0.00016317039509408893	0.9933648118545528	0.0007101872176865004	0.000278907980764832	0.005482922551901786	2	0.9933648118545528
DLBCL_RICOVER_1165	0.00021569494093344143	0.9932171086271403	0.0019416672247456186	0.0003651399536048202	0.004260389253575841	2	0.9932171086271403
DLBCL_RICOVER_839	0.0004239816027699719	0.9927871122846256	0.003623162229236769	0.0007487398193576462	0.00241700406401012	2	0.9927871122846256
DLBCL_MC_F739_AMA3	0.00014167908678477573	0.9927736420819026	0.005087204441381889	0.0005439619982794994	0.0014535123916512415	2	0.9927736420819026
DLBCL11562	0.0001525455044952938	0.9926993596714095	0.00525641887739411	0.00038520740136092945	0.0015064685453400493	2	0.9926993596714095
DLBCL11346	0.00011060479335835509	0.9926856787751349	0.0004762336608282474	0.0003352992924284068	0.0063921834782502285	2	0.9926856787751349
DLBCL11530	0.00010373892394642905	0.9926090115143046	0.004836244633581181	0.0008398784430378552	0.0016111264851298161	2	0.9926090115143046
DLBCL_RICOVER_678	0.00020671117687244417	0.9924676031934487	0.0012655876979983914	0.00028213207666624187	0.005777965855014269	2	0.9924676031934487
DLBCL10470	7.089100737127831e-05	0.9923496111942017	0.005532870593150289	0.0007044337584950656	0.0013421934467815716	2	0.9923496111942017
DLBCL_LS3245	0.0001377031742597458	0.9922129906991584	0.005803806762946602	0.0004964850284459995	0.0013490143351893356	2	0.9922129906991584
DLBCL_LS3309	7.356846494975384e-05	0.991955851984371	0.006275319594720539	0.0004602632372966168	0.0012349967186621198	2	0.991955851984371
DLBCL_LS2245	0.00011207885642144175	0.991299605094528	0.006825663697312812	0.00045395980254232874	0.0013086925491955206	2	0.991299605094528
DLBCL10452	0.00014901756725128724	0.9908775640965466	0.0005391724229755621	0.0002750928925393705	0.008159153020687301	2	0.9908775640965466
DLBCL_RICOVER_401	9.347409632585713e-05	0.9901626547584603	0.008147410285859037	0.0004500185710183559	0.0011464422883362497	2	0.9901626547584603
DLBCL_RICOVER_288	0.00088781266941083	0.9899928531211204	0.004405181543213241	0.0014575751811610304	0.003256577485094578	2	0.9899928531211204
DLBCL10460	0.0003383972185641823	0.9899431774731062	0.001563313615843238	0.00036676262338694246	0.00778834906909957	2	0.9899431774731062
DLBCL10934	0.0003000511689286305	0.9899035179691784	0.0008118748871549351	0.00035566817032347707	0.008628887804414656	2	0.9899035179691784
DLBCL10947	0.00011666678577776291	0.9876085927080963	0.00048029174438697484	0.0003304173353470406	0.011464031426391866	2	0.9876085927080963
DLBCL10538	0.00042710142467720935	0.9875138418689637	0.001671328001609784	0.004067991438550428	0.0063197372661987225	2	0.9875138418689637
DLBCL10989	0.0002533798660165078	0.9874685878820283	0.0008958715054095793	0.00023775824212210483	0.011144402504423515	2	0.9874685878820283
DLBCL_C_D_PAIR2	0.009062192278277282	0.9871234630630279	0.0009338807308167734	0.0008081638607970223	0.002072300067081209	2	0.9871234630630279
DLBCL10851	0.0002406839705979895	0.9867841499211564	0.000637292996620316	0.0002882538835766652	0.012049619228048574	2	0.9867841499211564
DLBCL11516	0.0004528006162064815	0.9865298717785714	0.0013363169266695032	0.0014325125172612433	0.01024849816129124	2	0.9865298717785714
DLBCL10500	0.0001640393315226111	0.9823593485397614	0.0020650119882556013	0.0005345484681515084	0.014877051672308936	2	0.9823593485397614
DLBCL11684	8.094731603974109e-05	0.9815112318266327	0.01635547523982898	0.0005563525145145148	0.0014959931029840023	2	0.9815112318266327
DLBCL10954	0.00033074504352176043	0.9795727877834488	0.0009697338397387079	0.00022880196939005094	0.018897931363900604	2	0.9795727877834488
DLBCL11479	0.0004338452558463557	0.9780833097697903	0.0009674724467126319	0.00038634345221276987	0.020129029075438044	2	0.9780833097697903
DLBCL10871	0.0003420818026526172	0.9780309371566588	0.00124034565508145	0.00021782718034620647	0.02016880820526085	2	0.9780309371566588
DLBCL_C_D_1105_NULLPAIR	0.00022790901755090644	0.9770392592550821	0.0006363481025630852	0.0002597290103949	0.02183675461440906	2	0.9770392592550821
DLBCL_C_D_1117_NULLPAIR	0.004033869153590275	0.9765364959848314	0.0031657206474746164	0.015083263987459723	0.0011806502266441914	2	0.9765364959848314
DLBCL10493	0.0001709231887043514	0.9757392895912603	0.01967349345692481	0.0030183281746808156	0.0013979655884297517	2	0.9757392895912603
DLBCL10461	0.00023288841948890203	0.9748220679968973	0.0006797098574154013	0.0002331292811212779	0.024032204445077195	2	0.9748220679968973
DLBCL10962	0.00036428410564793683	0.973744674000233	0.0012125240824575458	0.0003017490703880768	0.024376768741273428	2	0.973744674000233
DLBCL_RICOVER_478	0.00059647246647953	0.9728063396951944	0.0010698147132173115	0.0003588694069338137	0.025168503718175115	2	0.9728063396951944
DLBCL10849	0.00025828421976969914	0.9724508630006589	0.0006881826372467036	0.0002006259152406286	0.026402044227084146	2	0.9724508630006589
DLBCL_RICOVER_1210	7.712354808874603e-05	0.9712648117770092	0.02583772386730128	0.0015796556779643825	0.0012406851296363727	2	0.9712648117770092
DLBCL_MC_F210_GWC	0.00028089797384392076	0.9702373271285909	0.0007120645434840012	0.0003327477766189789	0.028436962577462258	2	0.9702373271285909
DLBCL11449	0.0006268596281449295	0.9693599297326956	0.0012482497157118924	0.00029928703342891775	0.028465673890018597	2	0.9693599297326956
DLBCL_LS1683	0.0003994017580159997	0.9686735592028732	0.0008391570349763294	0.0001823693657004436	0.029905512638434006	2	0.9686735592028732
DLBCL11531	0.0006747414721962581	0.9678539344694148	0.004139208686858353	0.026175475182622226	0.001156640188908383	2	0.9678539344694148
