PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.743	0.0164640645576811	0.0207617063256943	(0.72,0.76]	0.76
0.744	0.0135876834396028	0.0279043071877822	(0.72,0.76]	0.76
0.75	0.0221385795312045	0.02872033241692	(0.72,0.76]	0.76
0.757	0.018241430876987	0.0222370349731915	(0.72,0.76]	0.76
0.758	0.0140496663897289	0.0228191446108537	(0.72,0.76]	0.76
0.759	0.0159221237702554	0.0259317370480078	(0.72,0.76]	0.76
0.76	0.0170709310012355	0.025934780610422	(0.72,0.76]	0.76
0.762	0.0184322430725923	0.0261166357552156	(0.76,0.8]	0.8
0.765	0.0206966120502403	0.0270295154489699	(0.76,0.8]	0.8
0.767	0.0135389210621654	0.0265977770080618	(0.76,0.8]	0.8
0.769	0.0219279749460934	0.0287858866086946	(0.76,0.8]	0.8
0.771	0.0153296703119714	0.0209977420340692	(0.76,0.8]	0.8
0.773	0.0173463803290513	0.0256974102385443	(0.76,0.8]	0.8
0.774	0.0160058582012465	0.0259296473093075	(0.76,0.8]	0.8
0.775	0.0124444186025729	0.027994587057557	(0.76,0.8]	0.8
0.778	0.0210740439875976	0.0269803764513494	(0.76,0.8]	0.8
0.781	0.014838113829253	0.0227706300810323	(0.76,0.8]	0.8
0.783	0.0171013191978161	0.0261364567234085	(0.76,0.8]	0.8
0.784	0.0174052443740027	0.0215033395080744	(0.76,0.8]	0.8
0.786	0.0219041910524965	0.0275700305036237	(0.76,0.8]	0.8
0.788	0.0141410646413669	0.0250418689891733	(0.76,0.8]	0.8
0.789	0.019296592124017	0.0263423186238675	(0.76,0.8]	0.8
0.791	0.0125245941430741	0.0259607884664936	(0.76,0.8]	0.8
0.792	0.0173062321616233	0.0237016472907127	(0.76,0.8]	0.8
0.793	0.0156423434877769	0.0240905266166139	(0.76,0.8]	0.8
0.794	0.013566215577766	0.0214717268044556	(0.76,0.8]	0.8
0.8	0.0208795438556235	0.0280451807501344	(0.76,0.8]	0.8
0.806	0.0155208268457592	0.0269499558830505	(0.8,0.84]	0.84
0.808	0.0165413423240398	0.0232210197074733	(0.8,0.84]	0.84
0.81	0.0177317091534656	0.0253717022442375	(0.8,0.84]	0.84
0.811	0.0172510264975847	0.0239652363122461	(0.8,0.84]	0.84
0.812	0.0206507502680213	0.0282621136518125	(0.8,0.84]	0.84
0.814	0.0118834555900971	0.0268140590816463	(0.8,0.84]	0.84
0.815	0.016467181937372	0.0248510587255148	(0.8,0.84]	0.84
0.818	0.0218328346879686	0.0278439130025663	(0.8,0.84]	0.84
0.821	0.0151814343024126	0.0253456437939887	(0.8,0.84]	0.84
0.824	0.0198255029113601	0.0267257133575991	(0.8,0.84]	0.84
0.825	0.0120508163883187	0.0278544735930543	(0.8,0.84]	0.84
0.826	0.0169522984510558	0.0259625877117314	(0.8,0.84]	0.84
0.828	0.0150960745860192	0.0232470965434653	(0.8,0.84]	0.84
