pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DLBCL_RICOVER_1269	DLBCL-RICOVER_1269-Tumor-SM-4JPGG	DLBCL-RICOVER_1269-Normal-SM-4JPFO	2.100000
DLBCL_RICOVER_1278	DLBCL-RICOVER_1278-Tumor-SM-4JPGI	DLBCL-RICOVER_1278-Null_normal	2.037123
DLBCL_RICOVER_1283	DLBCL-RICOVER_1283-Tumor-SM-4JPGJ	DLBCL-RICOVER_1283-Null_normal	2.018792
DLBCL_RICOVER_1287	DLBCL-RICOVER_1287-Tumor-SM-4JPGK	DLBCL-RICOVER_1287-Null_normal	2.001117
DLBCL_RICOVER_1289	DLBCL-RICOVER_1289-Tumor-SM-4JPGL	DLBCL-RICOVER_1289-Null_normal	1.968968
DLBCL_RICOVER_1293	DLBCL-RICOVER_1293-Tumor-SM-4JPGN	DLBCL-RICOVER_1293-Null_normal	1.985055
DLBCL_RICOVER_1299	DLBCL-RICOVER_1299-Tumor-SM-4JPGO	DLBCL-RICOVER_1299-Null_normal	2.068152
DLBCL_RICOVER_1329	DLBCL-RICOVER_1329-Tumor-SM-4JPGP	DLBCL-RICOVER_1329-Null_normal	2.080274
DLBCL_RICOVER_134	DLBCL-RICOVER_134-Tumor-SM-4NFRN	DLBCL-RICOVER_134-Normal-SM-4MEX4	2.230000
DLBCL_RICOVER_147	DLBCL-RICOVER_147-Tumor-SM-4NFRR	DLBCL-RICOVER_147-Null_normal	1.979578
DLBCL_RICOVER_148	DLBCL-RICOVER_148-Tumor-SM-4NFRS	DLBCL-RICOVER_148-Normal-SM-4MEX7	2.030000
DLBCL_RICOVER_150	DLBCL-RICOVER_150-Tumor-SM-4NFRT	DLBCL-RICOVER_150-Null_normal	1.899421
DLBCL_RICOVER_151	DLBCL-RICOVER_151-Tumor-SM-4NFRU	DLBCL-RICOVER_151-Normal-SM-4MEX8	2.200000
DLBCL_RICOVER_173	DLBCL-RICOVER_173-Tumor-SM-4NFRZ	DLBCL-RICOVER_173-Normal-SM-4MEXB	2.020000
